dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,n_comp,dimension,n_levels,method_label
sim_indoor_v1,test_id,pure_hdc,2048,128.0,0.0,0,0.0,0,0.7257663628831814,0.6569533449380223,2.0318700001098478,2.062861499985047,0.2638480000314303,0.2776629998379576,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,pure_hdc,2048,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,6.1298150001221074,6.345904999852792,0.7529360000262386,0.7848103999776868,81940,868352,b2d66d0,,,4096.0,32.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,2048,1024.0,0.0,0,0.0,0,0.7332228666114333,0.6657146060834294,12.026153999840972,12.076402800084907,1.5220420000332524,1.554188199975215,163860,1736704,b2d66d0,,,8192.0,32.0,pure_hdc_D8192
sim_indoor_v1,test_id,quantized,128,128.0,0.0,0,0.0,1,0.743993371996686,0.6417276583909448,0.3048749999834399,0.30888809990301525,0.3108239998255158,0.3419208000195795,2420,0,b2d66d0,120.0,,,,quantized
sim_indoor_v1,test_id,pca,128,128.0,0.0,0,0.0,1,0.7431648715824358,0.6480952352197017,3.916813000159891,3.934231600123894,0.19404900012887083,0.21660569998402934,620,25200,b2d66d0,,30.0,,,pca
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,1,0.8624689312344657,0.7902003688341847,0.47907899988786085,0.48382650002167793,0.3760829999919224,3.976993799892625,20500,737280,b2d66d0,,,1024.0,,binary_hash_D1024
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.7249378624689312,0.6547982362114971,2.054769999858763,2.1867882999458743,0.2760050001597847,0.28490239999428013,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,1,0.7473073736536868,0.6436382849372578,0.2697649999845453,0.2821381998955985,0.3271200000654062,0.33805680002387817,3620,0,b2d66d0,180.0,,,,quantized
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,1,0.7547638773819387,0.6430222945087841,8.07391400007873,8.135512700005165,0.20261600002413616,0.21590720004951436,2540,94320,b2d66d0,,126.0,,,pca
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.7623400001648406,28.76981350009373,0.7633860000169079,0.8409875999404903,81940,2949120,b2d66d0,,,4096.0,,binary_hash_D4096
sim_indoor_v1,test_id,pure_hdc,512,128.0,0.0,0,0.0,1,0.7249378624689312,0.6547982362114971,2.0285929999772634,2.1837736998577384,0.2598569999463507,0.2712474000190923,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,6.348060000163969,6.4789893001034216,0.736218999918492,0.7436637999717277,81940,868352,b2d66d0,,,4096.0,32.0,pure_hdc_D4096
sim_indoor_v1,test_id,quantized,2048,188.0,0.0,0,0.0,1,0.7473073736536868,0.6436382849372578,0.2745690001120238,0.2764472998933343,0.3199969999059249,0.34655599979487306,3620,0,b2d66d0,180.0,,,,quantized
sim_indoor_v1,test_id,pca,2048,728.0,0.0,0,0.0,1,0.7489643744821872,0.6451009917684579,8.069055000078151,8.079027000007954,0.20138500008215487,0.2301543999237765,3620,133200,b2d66d0,,180.0,,,pca
sim_indoor_v1,test_id,binary_hash,2048,2048.0,0.0,0,0.0,1,0.9403479701739851,0.9041781786257111,3.5888680001789908,3.6284455001123206,2.7772580001510505,2.7943643001435703,327700,11796480,b2d66d0,,,16384.0,,binary_hash_D16384
sim_indoor_v1,test_id,pure_hdc,2048,128.0,0.0,0,0.0,1,0.7249378624689312,0.6547982362114971,2.0074990000011894,2.0294724998848324,0.2654899999470217,0.27464299994335306,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,pure_hdc,2048,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,6.221015999926749,6.265485000108129,0.7117129998732707,0.7328368999424129,81940,868352,b2d66d0,,,4096.0,32.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,2048,1024.0,0.0,0,0.0,1,0.7390223695111847,0.6724377817464307,11.875501000076838,13.026957400052197,1.4751229998637427,1.5169352001066727,163860,1736704,b2d66d0,,,8192.0,32.0,pure_hdc_D8192
sim_indoor_v1,test_id,quantized,128,128.0,0.0,0,0.0,2,0.743993371996686,0.6417276583909448,0.3019539999513654,0.30907749992366007,0.3381409999292373,0.34168609988682874,2420,0,b2d66d0,120.0,,,,quantized
