dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,snr_db,fading,coherence_symbols,empirical_ber,theory_ber,channel_kind,n_comp,dimension,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7249378624689312,0.6571774062784963,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,2.0,none,32,0.037410736083984375,0.03750612835892598,bpsk_awgn,,4096.0,pure_hdc_D4096/bpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7257663628831814,0.6575645701841359,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,0.0,none,32,0.07839202880859375,0.07864960352514258,bpsk_awgn,,4096.0,pure_hdc_D4096/bpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7274233637116818,0.6591103235583711,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,-2.0,none,32,0.13013076782226562,0.13064448852282917,bpsk_awgn,,4096.0,pure_hdc_D4096/bpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.728251864125932,0.6609774627962124,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,8.0,rayleigh_block,32,0.036472320556640625,0.03545906762783807,bpsk_rayleigh_block,,4096.0,pure_hdc_D4096/bpsk_rayleigh_block
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7307373653686827,0.6621315296574275,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,6.0,rayleigh_block,32,0.05435943603515625,0.052998883925638784,bpsk_rayleigh_block,,4096.0,pure_hdc_D4096/bpsk_rayleigh_block
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7257663628831814,0.6561303941699934,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,4.0,rayleigh_block,32,0.07915115356445312,0.07713691605639106,bpsk_rayleigh_block,,4096.0,pure_hdc_D4096/bpsk_rayleigh_block
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7257663628831814,0.6567378219812455,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,2.0,rayleigh_block,32,0.11104583740234375,0.10848473204958436,bpsk_rayleigh_block,,4096.0,pure_hdc_D4096/bpsk_rayleigh_block
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7274233637116818,0.6595199999835412,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,0.0,rayleigh_block,32,0.14948272705078125,0.1464466094067262,bpsk_rayleigh_block,,4096.0,pure_hdc_D4096/bpsk_rayleigh_block
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7216238608119304,0.6552242396858358,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,bpsk,-2.0,rayleigh_block,32,0.19206619262695312,0.18900836834134227,bpsk_rayleigh_block,,4096.0,pure_hdc_D4096/bpsk_rayleigh_block
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7307373653686827,0.6645544618634077,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,qpsk,8.0,none,32,0.000202178955078125,0.00019090777407599314,qpsk_awgn,,4096.0,pure_hdc_D4096/qpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7274233637116818,0.6605493728783877,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,qpsk,6.0,none,32,0.0023956298828125,0.002388290780932807,qpsk_awgn,,4096.0,pure_hdc_D4096/qpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7249378624689312,0.6564552594960505,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,qpsk,4.0,none,32,0.012378692626953125,0.01250081804073755,qpsk_awgn,,4096.0,pure_hdc_D4096/qpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7249378624689312,0.6569908804520923,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,qpsk,2.0,none,32,0.037479400634765625,0.03750612835892598,qpsk_awgn,,4096.0,pure_hdc_D4096/qpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7224523612261806,0.6534694166122502,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,qpsk,0.0,none,32,0.07867050170898438,0.07864960352514258,qpsk_awgn,,4096.0,pure_hdc_D4096/qpsk_awgn
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7257663628831814,0.6574524108635947,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,qpsk,-2.0,none,32,0.13079452514648438,0.13064448852282917,qpsk_awgn,,4096.0,pure_hdc_D4096/qpsk_awgn
