dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,hybrid_mode,frontend,mix,method_label
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.0,,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,1,0.9221209610604806,0.8787822664739467,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,1,0.8947804473902237,0.8469336363532658,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,1,0.844241922120961,0.7964632406807167,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,,,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.0,,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.7299088649544325,0.6617487566461787,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.7307373653686827,0.6628814150486695,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.7290803645401823,0.660801544269159,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9726594863297432,0.9528257259389058,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.0,,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.9743164871582436,0.9547347972252203,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.00989532470703125,0.01,linear,,,,pure_hdc_D4096+lin
