dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension,method_label
sim_indoor_v1,test_id,pca,512,512.0,0.0,128,0.0,2,0.2195526097763049,0.21244448033980118,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,512,0.0,2,0.19304059652029826,0.17926284222718136,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,512,0.0,2,0.15492957746478872,0.14846915868405533,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,1024,0.0,2,0.17729908864954433,0.1633699688712762,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,1024,0.0,2,0.1632145816072908,0.15883960836210487,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,32,0.0,2,0.9171499585749793,0.8725373236407213,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,32,0.0,2,0.9146644573322287,0.866332358033219,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,128,0.0,2,0.9014084507042254,0.8557769715289176,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,128,0.0,2,0.9030654515327258,0.8498579796944921,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,512,0.0,2,0.8152444076222038,0.7512679150550818,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,512,0.0,2,0.8251864125932062,0.7523324456169647,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,1024,0.0,2,0.656172328086164,0.5740390539050568,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,1,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,1024,0.0,2,0.6727423363711682,0.5884611050305857,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,True,1,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,32,0.0,2,0.7332228666114333,0.6651579673767912,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,32,0.0,2,0.7340513670256835,0.6656825683213585,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,128,0.0,2,0.7323943661971831,0.6639340577723628,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,128,0.0,2,0.7315658657829329,0.6629351143092663,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,512,0.0,2,0.7332228666114333,0.6626480826445337,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,512,0.0,2,0.7299088649544325,0.6632789396386166,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,1024,0.0,2,0.7257663628831814,0.6513247774828513,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,1,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,1024,0.0,2,0.7307373653686827,0.6609078609734328,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,True,1,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,3,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,3,0.6164043082021541,0.5367968951053075,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,3,0.48053024026512015,0.41904522513664855,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,3,0.5161557580778791,0.4418815221432556,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,3,0.29246064623032314,0.2595285282841199,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,3,0.2526926263463132,0.1807209203772018,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,3,0.14747307373653687,0.1207332577873377,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
