dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,quantized,128,128.0,0.0,0,0.0,1,0.743993371996686,0.6417276583909448,0.0,0.0,0.0,0.0,2420,0,f288d40,120.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.0,0,0.0,1,0.7341996455995274,0.6016337567289469,0.0,0.0,0.0,0.0,2420,0,f288d40,120.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,1,0.8624689312344657,0.7902003688341847,0.0,0.0,0.0,0.0,20500,737280,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,1,0.5652687536916716,0.511990441045626,0.0,0.0,0.0,0.0,20500,737280,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,1024.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.7249378624689312,0.6547982362114971,0.0,0.0,0.0,0.0,20500,217088,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.6999409332545776,0.5928257345226952,0.0,0.0,0.0,0.0,20500,217088,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.9544324772162386,0.9236555798223348,0.0,0.0,0.0,0.0,328000,217088,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.8505611340815121,0.7048687730118413,0.0,0.0,0.0,0.0,328000,217088,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.9502899751449876,0.9172351817909128,0.0,0.0,0.0,0.0,41000,217088,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.7914943886591849,0.645431107346816,0.0,0.0,0.0,0.0,41000,217088,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,1024.0,linear,1.0,hdc_linear
