dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,label_source,theory_ber,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_id,quantized,128,128.0,0.05,0,0.0,1,0.5662650602409639,0.5478535353535353,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.050750732421875,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,,,,quantized
lidardataframes_v1,test_id,quantized,128,128.0,0.1,0,0.0,1,0.39759036144578314,0.36649775396470263,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.1010284423828125,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.0,0,0.0,1,0.8536585365853658,0.8418458781362007,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.05,0,0.0,1,0.5,0.4626949858015326,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.050750732421875,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.1,0,0.0,1,0.4146341463414634,0.3901960784313726,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.1010284423828125,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,,,,quantized
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,1,0.8795180722891566,0.8763758835338898,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.05,0,0.0,1,0.8192771084337349,0.8194692903995229,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.050750732421875,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.1,0,0.0,1,0.7108433734939759,0.7059470308477683,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.1010284423828125,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,1,0.7926829268292683,0.792634533488192,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.05,0,0.0,1,0.7682926829268293,0.7648122008540885,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.050750732421875,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.1,0,0.0,1,0.6829268292682927,0.665281777046483,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.1010284423828125,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,,,binary_hash
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.9879518072289156,0.9874921826141339,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,1,0.9879518072289156,0.9874921826141339,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.050750732421875,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,1,0.963855421686747,0.9624765478424016,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.1010284423828125,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.8780487804878049,0.8784090909090909,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,1.0,hdc_k1
