shots_per_class,seed,method,hdc_head,n_centroids,before_new_acc,before_old_acc,new_acc,old_acc,forgetting,delta_new,adapt_ms
10,1,hdc_k16,prototype,16,0.8535144713526285,0.9635459817729909,0.874187832250443,0.9594034797017399,0.0041425020712509975,0.020673360897814574,32.80053900380153
10,1,hdc_linear,linear,1,0.8180744240992321,0.9726594863297432,0.8346131128174837,0.975973487986744,-0.003314001657000798,0.016538688718251593,5306.526456995925
50,1,hdc_k1,prototype,1,0.6993502658003544,0.7307373653686827,0.7306556408741879,0.7348798674399337,-0.0041425020712509975,0.031305375073833464,70.73611400119262
50,1,hdc_k8,prototype,8,0.7985823981098642,0.9113504556752279,0.8653278204370939,0.9055509527754764,0.0057995028997515075,0.06674542232722969,128.810579997662
50,1,hdc_k16,prototype,16,0.8535144713526285,0.9635459817729909,0.9131718842291789,0.9635459817729909,0.0,0.059657412876550464,185.83390500134556
50,1,hdc_linear,linear,1,0.8180744240992321,0.9726594863297432,0.8783225044300059,0.9668599834299917,0.0057995028997515075,0.06024808033077378,5703.275615000166
100,1,hdc_k1,prototype,1,0.6993502658003544,0.7307373653686827,0.7519196692262257,0.7191383595691798,0.011599005799502904,0.05256940342587124,161.2351649964694
100,1,hdc_k8,prototype,8,0.7985823981098642,0.9113504556752279,0.887182516243355,0.9047224523612262,0.006628003314001707,0.08860011813349078,223.65309599990724
100,1,hdc_k16,prototype,16,0.8535144713526285,0.9635459817729909,0.919669226225635,0.9602319801159901,0.003314001657000798,0.06615475487300648,323.14801499887835
100,1,hdc_linear,linear,1,0.8180744240992321,0.9726594863297432,0.9279385705847608,0.9701739850869926,0.0024855012427505985,0.10986414648552867,11588.649939003517
10,2,hdc_k1,prototype,1,0.7129356172474897,0.7332228666114333,0.7200236266981689,0.7340513670256835,-0.0008285004142501995,0.007088009450679222,11.355132999597117
10,2,hdc_k8,prototype,8,0.8393384524512699,0.9262634631317316,0.8464264619019493,0.9262634631317316,0.0,0.007088009450679333,21.787521996884607
10,2,hdc_k16,prototype,16,0.8493797991730656,0.9577464788732394,0.8606024808033077,0.9577464788732394,0.0,0.011222681630242093,36.356705000798684
10,2,hdc_linear,linear,1,0.8186650915534555,0.9701739850869926,0.8328411104548139,0.971830985915493,-0.001657000828500399,0.014176018901358445,7606.156104993715
50,2,hdc_k1,prototype,1,0.7129356172474897,0.7332228666114333,0.7324276432368576,0.7265948632974316,0.006628003314001707,0.019492025989367945,92.2016890035593
50,2,hdc_k8,prototype,8,0.8393384524512699,0.9262634631317316,0.8818665091553456,0.923777961888981,0.0024855012427505985,0.04252805670407567,113.27771099604433
50,2,hdc_k16,prototype,16,0.8493797991730656,0.9577464788732394,0.8948611931482575,0.9585749792874897,-0.0008285004142503105,0.04548139397519191,188.75939099962125
50,2,hdc_linear,linear,1,0.8186650915534555,0.9701739850869926,0.8895451860602481,0.9701739850869926,0.0,0.07088009450679267,5482.5949119986035
100,2,hdc_k1,prototype,1,0.7129356172474897,0.7332228666114333,0.7649143532191376,0.7340513670256835,-0.0008285004142501995,0.05197873597164793,152.2814410054707
100,2,hdc_k8,prototype,8,0.8393384524512699,0.9262634631317316,0.90253987005316,0.9246064623032312,0.001657000828500399,0.06320141760189013,222.0525059965439
100,2,hdc_k16,prototype,16,0.8493797991730656,0.9577464788732394,0.9303012404016539,0.9602319801159901,-0.0024855012427507095,0.08092144122858824,344.7858060026192
100,2,hdc_linear,linear,1,0.8186650915534555,0.9701739850869926,0.9291199054932073,0.9643744821872411,0.0057995028997515075,0.11045481393975187,6071.71084699803
