dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,ood_envs,theory_ber,dimension,hdc_head,n_centroids,method_label
semantic2d_v1,test_id,quantized,128,128.0,0.1,0,0.0,1,0.16429249762583095,0.16391992222495905,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.1010284423828125,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.0,0,0.0,1,0.2529079428381522,0.24093928413030968,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.05,0,0.0,1,0.16849451645064806,0.16408719089798876,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.050750732421875,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.1,0,0.0,1,0.13791957460950482,0.1368439556936915,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.1010284423828125,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,,,,quantized
semantic2d_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,1,0.3732193732193732,0.301358222179726,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,,,binary_hash
semantic2d_v1,test_id,binary_hash,128,128.0,0.05,0,0.0,1,0.3181386514719848,0.2620669571100443,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.050750732421875,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,,,binary_hash
semantic2d_v1,test_id,binary_hash,128,128.0,0.1,0,0.0,1,0.301994301994302,0.24296480136677573,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.1010284423828125,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,1,0.32668660684612827,0.2578321364196159,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.05,0,0.0,1,0.3157195081422399,0.2535191811601604,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.050750732421875,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.1,0,0.0,1,0.292123629112662,0.23206494038615136,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.1010284423828125,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,,,binary_hash
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.33618233618233617,0.31810141429251376,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,1,0.33143399810066476,0.31134484523524886,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.050750732421875,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,1,0.3342830009496676,0.3166810100497809,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.1010284423828125,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.23728813559322035,0.2610373772352276,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,1,0.23529411764705882,0.2601716329108593,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.050750732421875,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,1,0.23861748089066134,0.259438674746335,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.1010284423828125,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,1,0.5014245014245015,0.4885002071972254,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,1,0.5080721747388414,0.4939336817527546,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.050750732421875,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,1,0.5042735042735043,0.4920340691529283,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.1010284423828125,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,16.0,hdc_k16
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.3672316384180791,0.28785836997375197,0.0,0.0,0.0,0.0,328000,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k16,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,16.0,hdc_k16
