dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,n_comp,dimension,method_label
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,1,0.512013256006628,0.4624411527243487,0.0,0.0,0.0,0.0,2540,94320,7383700,,False,0,none,none,32,0.19669342041015625,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,1,0.31897265948632975,0.3191222825058943,0.0,0.0,0.0,0.0,2540,94320,7383700,,True,0,none,none,32,0.19616317749023438,126.0,,pca+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.0,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,1,0.8864954432477217,0.829753546199511,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.04077911376953125,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,1,0.8922949461474731,0.8437017264050614,0.0,0.0,0.0,0.0,81940,2949120,7383700,,True,0,none,none,32,0.04068756103515625,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,1,0.8293289146644574,0.7619360589318955,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.0849456787109375,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,1,0.8533554266777134,0.8030773693579982,0.0,0.0,0.0,0.0,81940,2949120,7383700,,True,0,none,none,32,0.08457183837890625,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,1,0.7232808616404308,0.6587711039318523,0.0,0.0,0.0,0.0,81940,2949120,7383700,,False,0,none,none,32,0.18441390991210938,,4096.0,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,1,0.7390223695111847,0.6750211083763309,0.0,0.0,0.0,0.0,81940,2949120,7383700,,True,0,none,none,32,0.18361663818359375,,4096.0,binary_hash+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.0,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,1,0.7357083678541839,0.6672819808444862,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.04431915283203125,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,1,0.7307373653686827,0.6616976955585103,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.04473114013671875,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,1,0.7274233637116818,0.6578291688792718,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.09272384643554688,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,1,0.7299088649544325,0.6591725160002668,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.09280014038085938,,4096.0,pure_hdc_D4096+intl
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,1,0.7207953603976802,0.6449144293754104,0.0,0.0,0.0,0.0,81940,868352,7383700,,False,0,none,none,32,0.20074462890625,,4096.0,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,1,0.7224523612261806,0.6432580159964678,0.0,0.0,0.0,0.0,81940,868352,7383700,,True,0,none,none,32,0.20113372802734375,,4096.0,pure_hdc_D4096+intl
