dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,snr_db,fading,coherence_symbols,empirical_ber,theory_ber,channel_kind,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.5044300059066745,0.4536811010722528,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,4.0,rayleigh_block,32,0.07403564453125,0.07713691605639106,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.4678086237448317,0.4248369054324607,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,0.0,rayleigh_block,32,0.1463775634765625,0.1464466094067262,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.4370939161252215,0.40443576736391906,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,bpsk,-2.0,rayleigh_block,32,0.188873291015625,0.18900836834134227,bpsk_rayleigh_block,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.00019090777407599314,0,0.0,0,0.5859421145894861,0.5140863296027602,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,8.0,none,32,0.000152587890625,0.00019090777407599314,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.01250081804073755,0,0.0,0,0.5587714116952156,0.489524192591667,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,4.0,none,32,0.0121002197265625,0.01250081804073755,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.07864960352514258,0,0.0,0,0.5174246898995866,0.4604628823757138,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,0.0,none,32,0.0784149169921875,0.07864960352514258,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.13064448852282917,0,0.0,0,0.4790313053750738,0.4316963528192238,0.0,0.0,0.0,0.0,20500,737280,232e20a,,False,0,none,-2.0,none,32,0.130126953125,0.13064448852282917,matched_ber,binary_hash,k16_radio,1024.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7257663628831814,0.6569533449380223,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,8.0,none,32,0.0001373291015625,0.00019090777407599314,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7232808616404308,0.6537019127849186,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,4.0,none,32,0.01251220703125,0.01250081804073755,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7216238608119304,0.6518001031257917,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,0.0,none,32,0.077789306640625,0.07864960352514258,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7158243579121789,0.6397809028925849,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,-2.0,none,32,0.129974365234375,0.13064448852282917,bpsk_awgn,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
