dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,invalid_mode,invalid_storage,method_tag,sweep,dataset_name,label_source,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.7682926829268293,0.7684253171656895,0.0,0.0,0.0,0.0,16400,737280,bd48481,range_bias:bias=0.25,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.7804878048780488,0.7757451369855092,0.0,0.0,0.0,0.0,16400,737280,bd48481,range_scale:scale=1.15,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.7804878048780488,0.7788959578433263,0.0,0.0,0.0,0.0,16400,737280,bd48481,gauss:sigma=0.05,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.8414634146341463,0.8414634146341464,0.0,0.0,0.0,0.0,16400,737280,bd48481,gauss:sigma=0.15,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.7195121951219512,0.7123966865053453,0.0,0.0,0.0,0.0,16400,737280,bd48481,clip:clip_to=6.0,fill,max_range,binary_hash,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,,,binary_hash
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9518072289156626,0.9515098722415796,0.0,0.0,0.0,0.0,16400,217088,bd48481,clean,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9036144578313253,0.8999309868875086,0.0,0.0,0.0,0.0,16400,217088,bd48481,beam_drop:drop_rate=0.1,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.8795180722891566,0.8711346198558475,0.0,0.0,0.0,0.0,16400,217088,bd48481,beam_drop:drop_rate=0.3,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.8313253012048193,0.8251739092470239,0.0,0.0,0.0,0.0,16400,217088,bd48481,sector_drop:fraction=0.15,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7951807228915663,0.7912797974211951,0.0,0.0,0.0,0.0,16400,217088,bd48481,sector_drop:fraction=0.3,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9518072289156626,0.9514605785592739,0.0,0.0,0.0,0.0,16400,217088,bd48481,range_bias:bias=0.25,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9397590361445783,0.9397727272727273,0.0,0.0,0.0,0.0,16400,217088,bd48481,range_scale:scale=1.15,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9518072289156626,0.9515098722415796,0.0,0.0,0.0,0.0,16400,217088,bd48481,gauss:sigma=0.05,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9397590361445783,0.9392654566080545,0.0,0.0,0.0,0.0,16400,217088,bd48481,gauss:sigma=0.15,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.927710843373494,0.9283856387514924,0.0,0.0,0.0,0.0,16400,217088,bd48481,clip:clip_to=6.0,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.8780487804878049,0.8784090909090909,0.0,0.0,0.0,0.0,16400,217088,bd48481,clean,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.8292682926829268,0.8291619398752127,0.0,0.0,0.0,0.0,16400,217088,bd48481,beam_drop:drop_rate=0.1,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.8170731707317073,0.8185805422647527,0.0,0.0,0.0,0.0,16400,217088,bd48481,beam_drop:drop_rate=0.3,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.8292682926829268,0.8312741312741313,0.0,0.0,0.0,0.0,16400,217088,bd48481,sector_drop:fraction=0.15,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.7317073170731707,0.7323232323232324,0.0,0.0,0.0,0.0,16400,217088,bd48481,sector_drop:fraction=0.3,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.8658536585365854,0.8691920644048303,0.0,0.0,0.0,0.0,16400,217088,bd48481,range_bias:bias=0.25,skip,nan,hdc_k1/skip,k16_lidardataframes_sensor,lidardataframes_v1,author_lidardataframes_place_tags,1024.0,prototype,1.0,hdc_k1/skip
