dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.3691671588895452,0.34659224818396983,0.0,0.0,0.0,0.0,81940,2949120,f288d40,sector_drop:fraction=0.15,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.29356172474896636,0.25632132772406174,0.0,0.0,0.0,0.0,81940,2949120,f288d40,sector_drop:fraction=0.3,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6255168340224454,0.544016383853332,0.0,0.0,0.0,0.0,81940,2949120,f288d40,range_bias:bias=0.25,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6018901358535145,0.5263099970408722,0.0,0.0,0.0,0.0,81940,2949120,f288d40,range_scale:scale=1.15,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6166568222090962,0.5358487878385334,0.0,0.0,0.0,0.0,81940,2949120,f288d40,gauss:sigma=0.05,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6166568222090962,0.540584550996113,0.0,0.0,0.0,0.0,81940,2949120,f288d40,gauss:sigma=0.15,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.5239220318960425,0.48605286738655773,0.0,0.0,0.0,0.0,81940,2949120,f288d40,clip:clip_to=6.0,binary_hash,k16_sensor,4096.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,0.0,0.0,0.0,0.0,81940,868352,f288d40,clean,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.6694283347141674,0.623131499725549,0.0,0.0,0.0,0.0,81940,868352,f288d40,beam_drop:drop_rate=0.1,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.49212924606462305,0.37478968413203206,0.0,0.0,0.0,0.0,81940,868352,f288d40,beam_drop:drop_rate=0.3,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.5741507870753936,0.5089819754890923,0.0,0.0,0.0,0.0,81940,868352,f288d40,sector_drop:fraction=0.15,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.44739022369511183,0.31373600459379014,0.0,0.0,0.0,0.0,81940,868352,f288d40,sector_drop:fraction=0.3,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7357083678541839,0.6599213572394788,0.0,0.0,0.0,0.0,81940,868352,f288d40,range_bias:bias=0.25,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7025683512841756,0.6343809376152052,0.0,0.0,0.0,0.0,81940,868352,f288d40,range_scale:scale=1.15,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.728251864125932,0.6609518601267252,0.0,0.0,0.0,0.0,81940,868352,f288d40,gauss:sigma=0.05,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7224523612261806,0.6550928940463562,0.0,0.0,0.0,0.0,81940,868352,f288d40,gauss:sigma=0.15,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.6470588235294118,0.5739743544726383,0.0,0.0,0.0,0.0,81940,868352,f288d40,clip:clip_to=6.0,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7217956290608387,0.6123345363951522,0.0,0.0,0.0,0.0,81940,868352,f288d40,clean,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5463673951565269,0.42271000427208943,0.0,0.0,0.0,0.0,81940,868352,f288d40,beam_drop:drop_rate=0.1,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5481393975191967,0.3695736393548592,0.0,0.0,0.0,0.0,81940,868352,f288d40,beam_drop:drop_rate=0.3,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5251033668044891,0.35983486188028896,0.0,0.0,0.0,0.0,81940,868352,f288d40,sector_drop:fraction=0.15,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5103366804489072,0.30067968170383147,0.0,0.0,0.0,0.0,81940,868352,f288d40,sector_drop:fraction=0.3,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.6916715888954519,0.5724110668200428,0.0,0.0,0.0,0.0,81940,868352,f288d40,range_bias:bias=0.25,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5883047844063792,0.4840862759260934,0.0,0.0,0.0,0.0,81940,868352,f288d40,range_scale:scale=1.15,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7188422917897224,0.6103627442202654,0.0,0.0,0.0,0.0,81940,868352,f288d40,gauss:sigma=0.05,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7152982870643827,0.6075262979372302,0.0,0.0,0.0,0.0,81940,868352,f288d40,gauss:sigma=0.15,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.622563496751329,0.5445380796131539,0.0,0.0,0.0,0.0,81940,868352,f288d40,clip:clip_to=6.0,hdc_k1,k16_sensor,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9577464788732394,0.9303367793652747,0.0,0.0,0.0,0.0,1311040,868352,f288d40,clean,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9461474730737366,0.9178758423795406,0.0,0.0,0.0,0.0,1311040,868352,f288d40,beam_drop:drop_rate=0.1,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
