dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,2,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.01,2,0.743993371996686,0.6371942725578112,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.05,2,0.7108533554266777,0.6119646204989204,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,2,0.6727423363711682,0.5840107632317832,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,2,0.6304888152444076,0.5540472922238059,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,2,0.5161557580778791,0.46499425065321864,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.01,2,0.9204639602319801,0.8742986648966928,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.05,2,0.8980944490472246,0.8427016242637408,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,2,0.8939519469759735,0.8518043565610439,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,2,0.8417564208782105,0.7818013590988842,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,2,0.7357083678541839,0.6502808302666752,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.01,2,0.7340513670256835,0.6665286895262171,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.05,2,0.7340513670256835,0.6662078105859182,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,2,0.7307373653686827,0.661988581789069,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,2,0.7357083678541839,0.6642329644246827,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,2,0.7406793703396851,0.6611044103656181,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,3,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
