dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,dimension,hybrid_mode,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.728251864125932,0.6609518601267252,0.0,0.0,0.0,0.0,81940,868352,51d3d02,gauss:sigma=0.05,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7224523612261806,0.6550928940463562,0.0,0.0,0.0,0.0,81940,868352,51d3d02,gauss:sigma=0.15,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.6470588235294118,0.5739743544726383,0.0,0.0,0.0,0.0,81940,868352,51d3d02,clip:clip_to=6.0,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7217956290608387,0.6123345363951522,0.0,0.0,0.0,0.0,81940,868352,51d3d02,clean,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5463673951565269,0.42271000427208943,0.0,0.0,0.0,0.0,81940,868352,51d3d02,beam_drop:drop_rate=0.1,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5481393975191967,0.3695736393548592,0.0,0.0,0.0,0.0,81940,868352,51d3d02,beam_drop:drop_rate=0.3,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5251033668044891,0.35983486188028896,0.0,0.0,0.0,0.0,81940,868352,51d3d02,sector_drop:fraction=0.15,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5103366804489072,0.30067968170383147,0.0,0.0,0.0,0.0,81940,868352,51d3d02,sector_drop:fraction=0.3,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.6916715888954519,0.5724110668200428,0.0,0.0,0.0,0.0,81940,868352,51d3d02,range_bias:bias=0.25,4096.0,,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5883047844063792,0.4840862759260934,0.0,0.0,0.0,0.0,81940,868352,51d3d02,range_scale:scale=1.15,4096.0,,pure_hdc_D4096
