dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,dimension,invalid_mode,invalid_storage,method_tag,sweep,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7536916715888955,0.6172077460525786,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,clean,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.507870753935377,0.4487836109472158,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.23943661971830985,0.22713299522795038,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.39436619718309857,0.33751702145988666,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.275890637945319,0.2246684978177144,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,1,0.6243354991139988,0.5479476601387901,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,clean,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,1,0.44063792085056114,0.4362235325858775,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,1,0.25457767277023036,0.2618944431036506,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,1,0.3756645008860012,0.3480889245694906,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,1,0.32309509746012993,0.26416949313282967,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9635459817729909,0.9394999731976863,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9527754763877382,0.9289703191621476,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7970173985086992,0.7419764874266944,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.8028169014084507,0.727717879250489,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.376139188069594,0.2990188811658608,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8535144713526285,0.7136985797367897,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.7064382752510336,0.5722996761406691,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.596574128765505,0.42529248644853135,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.5658594211458948,0.3977284428163575,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.42528056704075606,0.18548671068211733,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9635459817729909,0.9394999731976863,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.956089478044739,0.9289322179299683,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9494614747307374,0.9196584555795082,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9428334714167357,0.9060063376354563,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9022369511184756,0.8441379564355399,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8535144713526285,0.7136985797367897,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8038984051978736,0.6624303175642257,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.7779090372120496,0.6315245437822896,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.7814530419373893,0.6338086267623798,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.7117542823390431,0.5655073845850527,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.3,4096,skip,nan,hdc_k16/skip,k16_sector_encode,prototype,16.0,hdc_k16/skip
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9635459817729909,0.9394999731976863,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,clean,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9602319801159901,0.9359744071907903,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.1,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9502899751449876,0.9197867696722865,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.947804473902237,0.9128208103989743,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.15,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.8964374482187241,0.8460302999954674,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8535144713526285,0.7136985797367897,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,clean,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8210277613703485,0.6771650478414865,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.1,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8310691080921441,0.6904511325843734,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,beam_drop:drop_rate=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.813349084465446,0.6683270387915583,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.15,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.7519196692262257,0.625946288742725,0.0,0.0,0.0,0.0,1311040,872448,bbbaed8,sector_drop:fraction=0.3,4096,drop,nan,hdc_k16/drop,k16_sector_encode,prototype,16.0,hdc_k16/drop
