dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,n_centroids,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.9577464788732394,0.9316902072464577,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.09943008422851562,0.1,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8139397519196693,0.6555033476891229,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,0,0.8163024217365623,0.6579888376598272,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.00998687744140625,0.01,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,0,0.8056704075605434,0.6407843592447792,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.04975128173828125,0.05,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,0,0.8038984051978736,0.6488334520615713,0.0,0.0,0.0,0.0,163880,868352,5e92fce,4096,False,0,1,none,none,32,0.09943008422851562,0.1,linear,pure_hdc_D4096+lin
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,1,0.9221209610604806,0.8787822664739467,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.00989532470703125,0.01,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,1,0.8947804473902237,0.8469336363532658,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.050029754638671875,0.05,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,1,0.844241922120961,0.7964632406807167,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.10019302368164062,0.1,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,1,0.6243354991139988,0.5479476601387901,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.01,0,0.0,1,0.6142941523922032,0.5370935673629449,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.00989532470703125,0.01,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.05,0,0.0,1,0.6001181334908446,0.5286621660716566,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.050029754638671875,0.05,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.1,0,0.0,1,0.5711754282339043,0.5119424669062085,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.10019302368164062,0.1,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.7299088649544325,0.6617487566461787,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.7307373653686827,0.6628814150486695,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.7290803645401823,0.660801544269159,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.6993502658003544,0.5944698092737204,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,1,0.7011222681630243,0.5963050651775351,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,1,0.7028942705256941,0.5977685192201522,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,1,0.6987595983461311,0.592451546002415,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.8666114333057167,0.8096214422079882,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.0,,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.8682684341342171,0.8131972031082455,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.8682684341342171,0.8138111851722101,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.8707539353769677,0.816028059488155,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.7690490253987006,0.6426757624059698,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.0,,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,1,0.7666863555818074,0.6408703222787985,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,1,0.7725930301240401,0.6460609570104116,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,1,0.7672770230360307,0.6387963182829071,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9113504556752279,0.8627622621418636,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.0,,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.9113504556752279,0.8627471074190437,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.9130074565037283,0.8642724398952876,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.908036454018227,0.8562097078441845,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.7985823981098642,0.6692169733882153,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.0,,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,1,0.7974010632014176,0.6696127711859656,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,1,0.7968103957471944,0.6722125757984132,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,1,0.8021264028352038,0.6706330124419069,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.9635459817729909,0.9394999731976863,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.0,,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.9643744821872411,0.9404595174203415,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.9635459817729909,0.9394385941056121,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.9618889809444905,0.9364615458462293,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,1,0.8535144713526285,0.7136985797367897,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.0,,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,1,0.8529238038984052,0.7147457349328878,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.00989532470703125,0.01,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,1,0.8499704666272888,0.7106378108021663,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.050029754638671875,0.05,prototype,pure_hdc_D4096/k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,1,0.8446544595392794,0.7046412392129447,0.0,0.0,0.0,0.0,1311040,868352,5e92fce,4096,False,0,16,none,none,32,0.10019302368164062,0.1,prototype,pure_hdc_D4096/k16
