dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,noise_kind,theory_ber,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.1,0,0.0,0,0.49793266391021856,0.4476961653607547,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0994720458984375,binary_hash,k16_noise,ber,0.1,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,128,0.0,0,0.46249261665682223,0.435677680992665,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,1,none,none,32,0.125,binary_hash,k16_noise,burst,,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,512,0.0,0,0.1831069108092144,0.14327300444858063,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,1,none,none,32,0.5,binary_hash,k16_noise,burst,,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.05,0,0.5634967513290018,0.5062747240997942,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0157012939453125,binary_hash,k16_noise,plr,,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.1,0,0.5440047253396337,0.484786529924107,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.02899169921875,binary_hash,k16_noise,plr,,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.2,0,0.5144713526284702,0.46810292695773653,0.0,0.0,0.0,0.0,20500,737280,2dc1b09,,False,0,none,none,32,0.0712738037109375,binary_hash,k16_noise,plr,,1024.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7257663628831814,0.6569533449380223,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0,hdc_k1,k16_noise,ber,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.01,0,0.0,0,0.7257663628831814,0.6570490096673887,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0093841552734375,hdc_k1,k16_noise,ber,0.01,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.7232808616404308,0.6542695118000816,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.04931640625,hdc_k1,k16_noise,ber,0.05,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.7232808616404308,0.6543926864051235,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,0,none,none,32,0.0994720458984375,hdc_k1,k16_noise,ber,0.1,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,128,0.0,0,0.7141673570836785,0.6481447567585698,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,1,none,none,32,0.125,hdc_k1,k16_noise,burst,,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,512,0.0,0,0.1375310687655344,0.11547412184161343,0.0,0.0,0.0,0.0,20500,217088,2dc1b09,,False,1,none,none,32,0.5,hdc_k1,k16_noise,burst,,1024.0,prototype,1.0,hdc_k1
